"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3galt2",1290.2146206472,-0.662959537968286,0.107224411652355,-6.18291607062155,6.29281753791964e-10,1.95361382726119e-09
"Aaas",443.914841698471,-0.943879723553535,0.15885511785048,-5.94176464898002,2.81970054979134e-09,8.39084209447306e-09
"Aacs",2525.41245355425,0.487374326362322,0.0882211035626861,5.5244641778485,3.3049265525414e-08,9.10549029914541e-08
"Aagab",1102.52119076072,-0.314045125716892,0.0906150699500116,-3.46570527275581,0.000528842652990355,0.00101339583006692
"Aak1",313.12190787932,0.431948598401437,0.145327356057661,2.97224562614388,0.00295630069503327,0.00516559118873574
"Aamp",3992.67669137237,1.01669887051132,0.128330137376116,7.92252616025438,2.32733104425669e-15,1.00381897037648e-14
"Aars",6197.1761110279,0.208899376841526,0.0862759116221509,2.4212943440854,0.0154653490914676,0.0243828774392015
"Aars2",228.910719733384,-0.581830962685042,0.179103849748473,-3.24856759640925,0.00115987646552431,0.0021348156354147
"Aarsd1",527.336064511808,-1.08724404253055,0.119999905366263,-9.06037416623008,1.30003829891718e-19,7.00650305223321e-19
"Aasdhppt",856.481167927409,-0.930856842721089,0.113341539741054,-8.21284804183682,2.16002837016057e-16,9.79557606640715e-16
"Aatf",517.551783482816,-0.5004475964503,0.12974161423076,-3.85726352656749,0.000114663520961838,0.000235001238863788
"Abca2",521.655583308342,1.00077564729361,0.115287558862423,8.68069076289385,3.93372345531481e-18,1.95838752805526e-17
"Abca5",325.991413984139,0.985682127003007,0.14947383364178,6.59434566564495,4.27135480655847e-11,1.43142415283594e-10
"Abca7",1057.59271006429,1.2014858601807,0.107047621195532,11.2238445540614,3.11430543346806e-29,2.5147309073182e-28
"Abcb1a",526.21786762804,2.78949547566107,0.158940754365935,17.5505362786861,5.89210389368634e-69,1.4008901335709e-67
"Abcb1b",2687.95702745645,1.45975066597358,0.156304948642848,9.33911996164028,9.71381214626305e-21,5.50211271323871e-20
"Abcb4",87.4522242335993,2.12308067174395,0.27218122508549,7.80024658599106,6.17863237486489e-15,2.60277422863885e-14
"Abcb6",49.4934189925915,-1.66589776911377,0.374356219153268,-4.45003364143851,8.58568393502396e-06,1.95521438449353e-05
"Abcb7",313.993707816942,-0.382359912125486,0.139774658259136,-2.73554531907069,0.00622770102206869,0.0104065199291401
"Abcb8",327.098186245311,-0.682551346583107,0.138347828034097,-4.93358917362178,8.07321577343125e-07,1.99499589952947e-06
"Abcb9",61.6534388161855,1.6398737285303,0.301769950767008,5.43418496229408,5.50474584884867e-08,1.49026764992283e-07
"Abcc1",1513.50618828179,0.670728133885562,0.100326751588203,6.68543656868914,2.30237232027304e-11,7.87097992921744e-11
"Abcc10",145.557725317049,-0.698137863203592,0.208923719513947,-3.34159216018067,0.000832993577662332,0.00156279278939572
"Abcc3",1063.75272132119,0.440615207720509,0.0998683010540442,4.41196258542606,1.02437818061109e-05,2.31501855602604e-05
"Abcc4",740.279621620604,-1.33215144954404,0.127181925954852,-10.4743770747499,1.13280925878562e-25,7.88056049685001e-25
"Abcc5",233.611935003683,-2.37780142710758,0.178676038310493,-13.307892035168,2.08275379370284e-40,2.48361404398723e-39
"Abcd1",29.4512568547562,-1.34769915972976,0.45415031374662,-2.9675178436223,0.00300214856453779,0.00524094676888264
"Abcd3",667.899536860594,-0.637211672562718,0.112453744934213,-5.66643354505889,1.45800340627329e-08,4.11309310534373e-08
"Abcd4",140.181982276525,-0.979691360268166,0.226543087441721,-4.32452550784713,1.52860517099224e-05,3.40000630429555e-05
"Abce1",2830.74948998462,-0.799855404955942,0.0889382902892351,-8.99337509586414,2.39752327230032e-19,1.27313333692234e-18
"Abcf2",1819.71125723605,-0.948404453820449,0.0831077582151288,-11.4117439116268,3.65330471775048e-30,3.04354261093056e-29
"Abcg1",140.345444034267,1.49783998292965,0.277513411568645,5.39736070578752,6.76283406039533e-08,1.81943067678389e-07
"Abcg2",89.5275507235675,-3.05078079881506,0.293334869080048,-10.4003346359159,2.47064012316233e-25,1.69425795983031e-24
"Abcg3",38.8530611081001,-2.02698898153087,0.418350722043261,-4.84519058944342,1.26490194912677e-06,3.07833656743046e-06
"Abcg3l3",93.6697236807011,-1.86423488965635,0.272886435971347,-6.83154105120889,8.40072437508405e-12,2.94867467053755e-11
"Abhd12",826.668622341282,0.878806740343615,0.124855365070669,7.03859813990537,1.94183511978008e-12,7.08267197255646e-12
"Abhd12b",58.2646974892937,-3.09720489162381,0.411873977713482,-7.51978774871366,5.48652388600655e-14,2.18987162358569e-13
"Abhd13",711.395314221074,0.358247597152586,0.109259979730292,3.27885469168967,0.0010422928981599,0.00192884279920527
"Abhd14a",17.8840376470559,-1.94232854693493,0.583044035290985,-3.33135823259998,0.000864233074136013,0.0016169386612114
"Abhd16a",545.145914820768,0.447974084745195,0.133722264560012,3.35003364039018,0.000808017464711206,0.00151815313898179
"Abhd17b",714.36577715086,2.47758115777633,0.145291522841589,17.0524825490172,3.34997702400548e-65,7.24887350419163e-64
"Abhd17c",1869.12365689246,1.01968532264096,0.0980267838743559,10.402109325018,2.42504658732532e-25,1.66397941309644e-24
"Abhd3",42.9720345917558,-0.923203598405592,0.342152689886332,-2.69822107408331,0.00697111291142682,0.0115684632617459
"Abhd5",704.47258331255,1.08192509745735,0.110862915329679,9.75912544100045,1.68602855998325e-22,1.03188877174822e-21
"Abhd6",1154.88168984652,2.12284030208126,0.10985993545485,19.3231526424271,3.43045478245593e-83,1.06556196266877e-81
"Abhd8",287.22151731537,-1.20840944637448,0.174290395810299,-6.93331058637182,4.11104244814667e-12,1.4693193779256e-11
"Abi1",3324.79959838292,0.87905817569986,0.085307613574595,10.3045688287973,6.71923083965452e-25,4.51137201349262e-24
"Abi2",124.9744313889,-1.1659287220712,0.221847846829114,-5.25553318968788,1.4759623157366e-07,3.87079994515126e-07
"Abl2",732.154456033636,2.62643588190225,0.118023537389517,22.2534923117424,1.04343230886291e-109,4.61948671605781e-108
"Abracl",1315.52538803382,0.49328619164221,0.0846163892427026,5.82967668624257,5.55348682795386e-09,1.61801664894117e-08
"Abt1",271.304359840241,-0.569702878457094,0.156635526590783,-3.63712429010736,0.000275698914795887,0.000544936873155401
"Abtb1",190.657396605833,0.768517317622844,0.193150950645027,3.97884305024843,6.92514356175303e-05,0.000144754040984183
"Abtb2",2299.08441384311,3.92986824924037,0.0915880698185249,42.9080802448083,0,0
"Acaa2",607.141686481442,-1.1907792402625,0.12111090379818,-9.83213899754904,8.1861283859611e-23,5.05832692512195e-22
"Acaca",551.392452021576,-1.31912200503086,0.119360431388196,-11.0515854348806,2.15377203448659e-28,1.69413450364142e-27
"Acad10",105.934943893793,-0.528074348819613,0.222472989842235,-2.37365600738361,0.0176129507806491,0.0275023846311351
"Acad11",300.003386734119,-0.601945412562673,0.146713074957446,-4.10287503507964,4.08047669511592e-05,8.71854811613618e-05
"Acad9",596.003697688008,-1.45946403462983,0.127323156950413,-11.4626755225542,2.03140791869898e-30,1.71460325058924e-29
"Acadl",833.353780268211,0.806551076152209,0.094518516522585,8.53325999842036,1.42280440880808e-17,6.85306583733944e-17
"Acads",467.704138859501,0.996679206957265,0.13887917758253,7.17659208749979,7.14705183976833e-13,2.68043440469079e-12
"Acadsb",14.203383232882,1.36903648764277,0.62528105177092,2.1894738114411,0.028562419976671,0.0431651236314611
"Acadvl",947.238381759155,0.640821798287857,0.109897223195808,5.83110091094915,5.50628710129142e-09,1.60507435558583e-08
"Acap1",566.447391730513,0.934870006924661,0.131018089964578,7.1354269259872,9.64872085018266e-13,3.59184824174809e-12
"Acap3",284.807162099836,-0.317803849214187,0.143379989027009,-2.21651467105581,0.02665627424378,0.0405280590640629
"Acat1",324.304892315857,-1.34263671546889,0.191465391619396,-7.01242508692037,2.34222279248477e-12,8.49745192061585e-12
"Acat2",1858.16887035932,-0.914126878943773,0.100967144566888,-9.0537063602724,1.38196108865008e-19,7.43069352226694e-19
"Acbd4",104.173289290638,0.861444752446382,0.254796374558296,3.38091448098406,0.000722450241285601,0.00136314705062951
"Acbd5",253.372789025999,0.801370717620456,0.18002071894225,4.45154714595674,8.52538097016153e-06,1.9433966681834e-05
"Acbd6",410.27731870968,-0.849502151087689,0.130878272948986,-6.49078056996373,8.53927770012995e-11,2.81195080721008e-10
"Accs",39.8240643909024,-2.03025020464648,0.396347322454679,-5.12240171593095,3.01668344915499e-07,7.71019182813226e-07
"Accsl",16.3889059776349,-2.51625211167282,0.672830052892773,-3.73980338846997,0.00018416424748338,0.000370605691339333
