"","A1","A2","A3","B1","B2","B3","C1","C2","C3"
"A1bg",0,0,0,0,0,0,0,0,0
"A1cf",0,0,0,0,0,0,0,0,0
"A1i3",0,0,0,0,0,0,0,0,0
"A2m",0,0,0,0,0,0,0,0,0
"A3galt2",2161.06380551804,2115.75617975037,1769.24048616513,610.141067990698,599.122657628253,537.103359867138,1200.00468319189,1396.17882764863,1223.32051806464
"A4galt",0,0,0,0,0,0,2.19178937569295,0,0
"AA926063",0,0,0,0,0,0,0,0,0
"Aaas",487.374002019902,634.58829752827,692.981041486343,371.438712323405,420.685731983547,443.531345953003,309.042301972705,273.646392408197,361.945749610869
"Aacs",2254.62844200897,2309.04235334249,1936.06925541185,2364.71492530216,2522.93269040694,2226.07821101729,3059.73796846735,3079.97748050929,2975.53075552191
"Aadac",0,0,0,0,0,0,0,0,0
"Aadacl2",0,0,0,0,0,0,0,0,0
"Aadacl3",0,0,0,0,0,0,0,0,0
"Aadat",0,0,0,0,0,0,0,0,0
"Aaed1",101.245315605853,138.556396840234,125.763226047522,88.1190939145616,88.6276120751854,95.4434541924183,96.4387325304896,96.649576893108,79.9647586349594
"Aagab",1436.28699449131,1460.38442269606,1403.92825812233,693.798435631105,745.653642925893,718.633066860562,1092.60700378293,1107.39454970296,1264.00434263331
"Aak1",210.869553882536,225.15414486538,278.04794874452,393.74734369418,366.3274632441,382.709536908815,324.384827602556,308.579974417754,328.276377554044
"Aamdc",16.7578453416585,11.7772937314199,11.977450099764,2.23086313707751,3.54510448300742,5.61432083484814,4.38357875138589,1.1644527336519,15.4317955260448
"Aamp",2508.09085280156,2526.57589638166,1967.72394496122,5267.06786664,5335.38224692616,4154.59741778762,4797.82694339186,4029.00645843559,5347.8185950257
"Aanat",3.49121777951219,0.692781984201168,0,11.1543156853875,0,0,1.09589468784647,0,1.40289050236771
"Aar2",446.177632221658,410.819716631293,439.743525091334,455.096079963812,420.685731983547,502.481714718908,403.289245127502,366.80261110035,427.881603222151
"Aard",1.39648711180488,2.0783459526035,0.85553214998314,2.23086313707751,0,0,5.47947343923236,0,0
"Aars",4664.96519698419,5078.09194419456,5897.18310983378,7375.23353117824,7491.98747408901,7193.81642971875,6029.61257253129,5920.07769788628,6123.61704283505
