TimePoint,ImageNumber,ObjectNumber,AreaShape_Area,Area_um2,Intensity_IntegratedIntensity_Quant_p63,Total_p63_Intensity_per_um2_Object,Normalized_Total_p63_Intensity_per_um2_Object,renormalizing_value,Renormalized_Total_p63_Intensity_per_um2_Object,rescaled
0,4,78,1,0.3844,157802.0625,410515.251,2.088791777,0.996619211,2.095877497,1
0,14,109,1,0.3844,157471.6719,409655.7541,2.084418468,0.996619211,2.091489352,0.9979059
0,4,32,36,13.8384,5651908.82,408422.1312,2.078141524,0.996619211,2.085191115,0.99490026
0,9,148,3,1.1532,469913.6406,407486.6811,2.073381748,0.996619211,2.080415193,0.9926211
0,13,97,63,24.2172,9860171.055,407155.7015,2.071697651,0.996619211,2.078725383,0.9918147
0,9,49,200,76.88,31280036.26,406868.3176,2.070235379,0.996619211,2.07725815,0.99111451
0,9,1,285,109.554,44213627.32,403578.3935,2.053495522,0.996619211,2.060461508,0.98309884
0,5,65,171,65.7324,26338627.12,400694.7429,2.038822874,0.996619211,2.045739087,0.97607303
0,5,22,319,122.6236,49074539.77,400204.6895,2.036329375,0.996619211,2.043237129,0.97487905
0,9,23,19,7.3036,1693366.941,231853.7353,2.01127619,0.996619211,2.018098957,0.96288265
0,5,37,43,16.5292,6527391.164,394900.6101,2.009341054,0.996619211,2.016157256,0.96195604
0,14,73,21,8.0724,3171067.148,392828.2975,1.998796672,0.996619211,2.005577105,0.95690699
0,9,113,9,3.4596,1357581.008,392409.8184,1.996667359,0.996619211,2.003440568,0.9558874
0,9,34,83,31.9052,12417437.96,389197.9352,1.980324591,0.996619211,1.987042362,0.94806187
0,14,63,70,26.908,10454043.82,388510.6221,1.976827391,0.996619211,1.983533299,0.94638728
0,9,8,2,0.7688,174770.1328,227328.4766,1.972020643,0.996619211,1.978710245,0.94408563
0,13,38,47,18.0668,6968494.406,385707.1759,1.962562841,0.996619211,1.96922036,0.93955689
0,9,134,39,14.9916,5777784.156,385401.4352,1.961007165,0.996619211,1.967659407,0.93881197
0,9,84,86,33.0584,12696860.45,384073.6528,1.954251117,0.996619211,1.96088044,0.93557692
0,3,106,3,1.1532,441389.1484,382751.6029,1.947524236,0.996619211,1.95413074,0.93235584
0,13,122,44,16.9136,6460948.18,381997.22,1.94368577,0.996619211,1.950279253,0.93051784
0,4,54,41,15.7604,6005841.453,381071.6386,1.938976209,0.996619211,1.945553716,0.92826273
0,9,64,111,42.6684,16144060.59,378361.0491,1.925184134,0.996619211,1.931714854,0.92165857
0,9,132,39,14.9916,5672168.57,378356.451,1.925160738,0.996619211,1.931691379,0.92164737
0,10,85,17,6.5348,1449780.992,221855.4496,1.924543432,0.996619211,1.931071979,0.92135178
0,6,100,53,20.3732,7626425.656,374336.1699,1.904704665,0.996619211,1.911165913,0.91185224
0,14,49,34,13.0696,4837713.063,370150.0476,1.883404755,0.996619211,1.889793749,0.90165305
0,1,81,11,4.2284,917754.8242,217045.413,1.882817504,0.996619211,1.889204506,0.90137185
0,1,99,27,10.3788,2248230.418,216617.5683,1.879106053,0.996619211,1.885480465,0.89959467
0,3,15,32,12.3008,4541694.609,369219.4499,1.878669669,0.996619211,1.885042601,0.89938571
0,5,42,4,1.5376,567387.9375,369008.8043,1.877597858,0.996619211,1.883967154,0.89887249
0,9,38,137,52.6628,19422633.67,368811.2609,1.876592714,0.996619211,1.8829586,0.89839119
0,13,4,18,6.9192,2551621.477,368774.0601,1.876403428,0.996619211,1.882768672,0.89830055
0,4,47,109,41.8996,15443989.84,368595.1619,1.875493155,0.996619211,1.88185531,0.89786468
0,9,168,23,8.8412,3249654.359,367558.0644,1.870216175,0.996619211,1.87656043,0.89533787
0,4,53,103,39.5932,14542433.24,367296.2338,1.868883923,0.996619211,1.875223659,0.89469993
0,1,93,34,13.0696,2811755.656,215137.0858,1.866263218,0.996619211,1.872594063,0.89344504
0,5,32,99,38.0556,13934528.41,366162.3628,1.863114539,0.996619211,1.869434703,0.89193734
0,1,54,22,8.4568,1814615.563,214574.7283,1.8613849,0.996619211,1.867699197,0.89110912
0,9,45,52,19.9888,4282709.521,214255.4591,1.858615316,0.996619211,1.864920218,0.88978294
0,13,121,68,26.1392,9545080.016,365163.4333,1.858031766,0.996619211,1.864334688,0.88950352
0,7,46,17,6.5348,2383759.891,364779.3185,1.856077305,0.996619211,1.862373598,0.88856765
0,13,33,510,196.044,71496289.47,364695.1168,1.855648868,0.996619211,1.861943707,0.8883625
0,9,24,87,33.4428,7145124.334,213652.0965,1.853381288,0.996619211,1.859668435,0.8872767
0,9,54,8,3.0752,656308.4297,213419.7547,1.851365778,0.996619211,1.857646088,0.88631159
0,9,79,69,26.5236,5657931.66,213316.8823,1.850473385,0.996619211,1.856750667,0.88588428
0,4,91,76,29.2144,10603987.13,362971.2445,1.846877428,0.996619211,1.853142511,0.8841624
0,14,57,41,15.7604,5712375.477,362451.1736,1.844231193,0.996619211,1.8504873,0.88289529
0,6,51,68,26.1392,9463486.977,362041.9514,1.84214898,0.996619211,1.848398024,0.88189825
0,4,22,35,13.454,4854317.078,360808.4643,1.835872727,0.996619211,1.84210048,0.87889294
