Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
A1bg,0,0,0,0,0,0,0,0,0
A1cf,0,0,0,0,0,0,0,0,0
A1i3,0,0,0,0,0,0,0,0,0
A2m,0,0,0,0,0,0,0,0,0
A3galt2,3095,3054,2068,547,507,574,1095,1199,872
A4galt,0,0,0,0,0,0,2,0,0
AA926063,0,0,0,0,0,0,0,0,0
Aaas,698,916,810,333,356,474,282,235,258
Aacs,3229,3333,2263,2120,2135,2379,2792,2645,2121
Aadac,0,0,0,0,0,0,0,0,0
Aadacl2,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0
Aadat,0,0,0,0,0,0,0,0,0
Aaed1,145,200,147,79,75,102,88,83,57
Aagab,2057,2108,1641,622,631,768,997,951,901
Aak1,302,325,325,353,310,409,296,265,234
Aamdc,24,17,14,2,3,6,4,1,11
Aamp,3592,3647,2300,4722,4515,4440,4378,3460,3812
Aanat,5,1,0,10,0,0,1,0,1
Aar2,639,593,514,408,356,537,368,315,305
Aard,2,3,1,2,0,0,5,0,0
Aars,6681,7330,6893,6612,6340,7688,5502,5084,4365
Aars2,380,402,355,165,219,219,202,142,127
Aarsd1,1088,1169,1000,361,322,421,336,295,308
Aasdhppt,2153,1986,1409,458,383,554,702,598,482
Aass,4,4,4,0,0,0,2,0,1
Aatf,1038,867,687,434,408,457,449,387,291
Aatk,0,0,0,1,0,5,0,8,0
Abat,2,1,0,2,1,17,2,4,2
Abca1,0,0,1,1,1,0,2,0,1
Abca13,0,0,0,0,0,0,0,0,0
Abca15,0,0,0,0,0,0,0,0,0
Abca17,4,2,0,0,2,0,5,0,0
Abca2,537,581,484,330,285,445,743,685,549
Abca4,0,5,1,0,2,10,0,2,1
Abca5,260,319,265,277,300,424,365,377,289
Abca7,968,915,633,1014,962,1211,1267,1129,1114
Abca8a,0,0,0,0,0,0,0,0,0
Abcb10,530,486,417,403,392,491,464,314,294
Abcb11,2,4,5,2,0,3,2,6,2
Abcb1a,173,177,93,650,564,830,677,722,472
Abcb1b,1562,1818,1989,2631,2378,3482,3035,3997,2250
Abcb4,51,53,40,59,65,78,103,171,109
Abcb6,91,96,121,42,27,64,27,17,17
